work,type,size,PKG,seconds
bent_cigar, f, 128, 3.65, 0.07560684
bent_cigar, f, 128, 3.75, 0.06493099
bent_cigar, f, 128, 3.67, 0.06541441
bent_cigar, f, 128, 3.58, 0.06575871
bent_cigar, f, 128, 3.58, 0.06518692
bent_cigar, f, 128, 3.71, 0.06647910
bent_cigar, f, 128, 3.69, 0.06549843
bent_cigar, f, 128, 3.76, 0.06556976
bent_cigar, f, 128, 3.60, 0.06502459
bent_cigar, f, 128, 3.81, 0.06533899
bent_cigar, f, 128, 3.82, 0.06603655
bent_cigar, f, 128, 3.77, 0.06510395
bent_cigar, f, 128, 3.68, 0.06677447
bent_cigar, f, 128, 3.91, 0.06527624
bent_cigar, f, 128, 3.73, 0.06729112
bent_cigar, f, 128, 3.83, 0.06553311
bent_cigar, f, 128, 3.81, 0.06673637
bent_cigar, f, 128, 3.85, 0.06482455
bent_cigar, f, 128, 3.78, 0.06723511
bent_cigar, f, 128, 3.82, 0.06554641
bent_cigar, f, 128, 3.85, 0.06575860
bent_cigar, f, 128, 4.02, 0.06536867
bent_cigar, f, 128, 3.82, 0.06717655
bent_cigar, f, 128, 3.83, 0.06579798
bent_cigar, f, 128, 3.91, 0.06590418
bent_cigar, f, 128, 3.73, 0.06730957
bent_cigar, f, 128, 3.77, 0.06629630
bent_cigar, f, 128, 3.84, 0.06653126
bent_cigar, f, 128, 3.72, 0.06531247
bent_cigar, f, 128, 3.81, 0.06641009
bent_cigar, f, 256, 7.08, 0.12918450
bent_cigar, f, 256, 7.06, 0.12973858
bent_cigar, f, 256, 7.17, 0.12853207
bent_cigar, f, 256, 7.06, 0.13010311
bent_cigar, f, 256, 7.04, 0.13229048
bent_cigar, f, 256, 7.02, 0.12865776
bent_cigar, f, 256, 7.06, 0.12886162
bent_cigar, f, 256, 6.93, 0.12884625
bent_cigar, f, 256, 6.95, 0.12807165
bent_cigar, f, 256, 6.99, 0.12862742
bent_cigar, f, 256, 7.09, 0.13281714
bent_cigar, f, 256, 7.11, 0.13113032
bent_cigar, f, 256, 7.23, 0.13228842
bent_cigar, f, 256, 6.85, 0.12956002
bent_cigar, f, 256, 7.05, 0.13191240
bent_cigar, f, 256, 6.86, 0.13214275
bent_cigar, f, 256, 6.95, 0.12898482
bent_cigar, f, 256, 6.91, 0.12984218
bent_cigar, f, 256, 6.92, 0.12936693
bent_cigar, f, 256, 6.96, 0.13202742
bent_cigar, f, 256, 6.91, 0.12912950
bent_cigar, f, 256, 6.89, 0.12997545
bent_cigar, f, 256, 6.92, 0.13257212
bent_cigar, f, 256, 6.93, 0.12959318
bent_cigar, f, 256, 6.99, 0.12682397
bent_cigar, f, 256, 6.99, 0.13203207
bent_cigar, f, 256, 7.07, 0.12950787
bent_cigar, f, 256, 7.07, 0.12824109
bent_cigar, f, 256, 7.22, 0.12906526
bent_cigar, f, 256, 6.94, 0.13201186
bent_cigar, f, 512, 16.44, 0.25221428
bent_cigar, f, 512, 16.44, 0.25596918
bent_cigar, f, 512, 14.03, 0.24972664
bent_cigar, f, 512, 18.11, 0.25555820
bent_cigar, f, 512, 17.24, 0.25430602
bent_cigar, f, 512, 16.42, 0.25527735
bent_cigar, f, 512, 16.31, 0.25503004
bent_cigar, f, 512, 15.71, 0.25819286
bent_cigar, f, 512, 15.85, 0.25493493
bent_cigar, f, 512, 16.11, 0.25418809
bent_cigar, f, 512, 15.76, 0.25624346
bent_cigar, f, 512, 15.99, 0.25527288
bent_cigar, f, 512, 16.00, 0.25744418
bent_cigar, f, 512, 15.68, 0.25784382
bent_cigar, f, 512, 16.18, 0.25841572
bent_cigar, f, 512, 15.87, 0.25589565
bent_cigar, f, 512, 15.88, 0.25622257
bent_cigar, f, 512, 15.86, 0.25595829
bent_cigar, f, 512, 16.04, 0.25456315
bent_cigar, f, 512, 15.83, 0.25589914
bent_cigar, f, 512, 15.92, 0.25439634
bent_cigar, f, 512, 16.24, 0.25527966
bent_cigar, f, 512, 16.03, 0.25604974
bent_cigar, f, 512, 16.26, 0.25506186
bent_cigar, f, 512, 16.31, 0.25623414
bent_cigar, f, 512, 16.02, 0.25593355
bent_cigar, f, 512, 15.76, 0.25632848
bent_cigar, f, 512, 15.95, 0.25260538
bent_cigar, f, 512, 15.78, 0.25851420
bent_cigar, f, 512, 15.86, 0.25450308
bent_cigar, d, 128, 3.70, 0.06787554
bent_cigar, d, 128, 3.85, 0.06771329
bent_cigar, d, 128, 3.73, 0.06679143
bent_cigar, d, 128, 3.66, 0.06696599
bent_cigar, d, 128, 3.63, 0.06831215
bent_cigar, d, 128, 3.66, 0.06749125
bent_cigar, d, 128, 3.56, 0.06634459
bent_cigar, d, 128, 3.68, 0.06767111
bent_cigar, d, 128, 3.61, 0.06833172
bent_cigar, d, 128, 3.66, 0.06790956
bent_cigar, d, 128, 3.68, 0.06721291
bent_cigar, d, 128, 3.64, 0.06741042
bent_cigar, d, 128, 3.89, 0.06651811
bent_cigar, d, 128, 3.92, 0.06840089
bent_cigar, d, 128, 3.74, 0.06633586
bent_cigar, d, 128, 3.72, 0.06807538
bent_cigar, d, 128, 3.87, 0.06744861
bent_cigar, d, 128, 3.78, 0.06727304
bent_cigar, d, 128, 3.78, 0.06752056
bent_cigar, d, 128, 3.84, 0.06681020
bent_cigar, d, 128, 3.85, 0.06691324
bent_cigar, d, 128, 3.82, 0.06700346
bent_cigar, d, 128, 3.82, 0.06804160
bent_cigar, d, 128, 3.80, 0.06640127
bent_cigar, d, 128, 3.73, 0.06635335
bent_cigar, d, 128, 3.83, 0.06683528
bent_cigar, d, 128, 3.93, 0.06662239
bent_cigar, d, 128, 3.85, 0.06679673
bent_cigar, d, 128, 3.69, 0.06701700
bent_cigar, d, 128, 3.75, 0.06757954
bent_cigar, d, 256, 7.12, 0.13187611
bent_cigar, d, 256, 7.04, 0.13157294
bent_cigar, d, 256, 7.02, 0.12994316
bent_cigar, d, 256, 6.97, 0.12969584
bent_cigar, d, 256, 7.08, 0.13043106
bent_cigar, d, 256, 6.98, 0.13157437
bent_cigar, d, 256, 6.96, 0.12935278
bent_cigar, d, 256, 7.01, 0.13072996
bent_cigar, d, 256, 7.03, 0.12870131
bent_cigar, d, 256, 6.96, 0.13178130
bent_cigar, d, 256, 7.22, 0.12759488
bent_cigar, d, 256, 7.04, 0.13068074
bent_cigar, d, 256, 7.03, 0.13105480
bent_cigar, d, 256, 7.17, 0.13033993
bent_cigar, d, 256, 7.05, 0.12883447
bent_cigar, d, 256, 6.96, 0.13190901
bent_cigar, d, 256, 6.99, 0.12727800
bent_cigar, d, 256, 7.02, 0.12939592
bent_cigar, d, 256, 7.05, 0.12838195
bent_cigar, d, 256, 7.01, 0.13058329
bent_cigar, d, 256, 7.00, 0.13088080
bent_cigar, d, 256, 7.08, 0.13169076
bent_cigar, d, 256, 7.02, 0.13123056
bent_cigar, d, 256, 7.32, 0.13123115
bent_cigar, d, 256, 7.07, 0.12728159
bent_cigar, d, 256, 6.98, 0.13042724
bent_cigar, d, 256, 7.09, 0.12943025
bent_cigar, d, 256, 7.13, 0.12994771
bent_cigar, d, 256, 7.11, 0.12905051
bent_cigar, d, 256, 6.97, 0.13000244
bent_cigar, d, 512, 13.61, 0.24951796
bent_cigar, d, 512, 17.04, 0.25431300
bent_cigar, d, 512, 16.89, 0.25094174
bent_cigar, d, 512, 16.68, 0.25439933
bent_cigar, d, 512, 16.82, 0.25602696
bent_cigar, d, 512, 13.83, 0.24953528
bent_cigar, d, 512, 16.63, 0.25254678
bent_cigar, d, 512, 16.62, 0.25568317
bent_cigar, d, 512, 16.50, 0.25476313
bent_cigar, d, 512, 16.61, 0.25288661
bent_cigar, d, 512, 16.47, 0.25448900
bent_cigar, d, 512, 13.32, 0.25042919
bent_cigar, d, 512, 16.36, 0.25303012
bent_cigar, d, 512, 16.88, 0.25363807
bent_cigar, d, 512, 16.42, 0.25461262
bent_cigar, d, 512, 16.39, 0.25647210
bent_cigar, d, 512, 16.39, 0.25490518
bent_cigar, d, 512, 16.61, 0.25404083
bent_cigar, d, 512, 13.28, 0.24889235
bent_cigar, d, 512, 16.31, 0.25496242
bent_cigar, d, 512, 12.79, 0.25005414
bent_cigar, d, 512, 15.68, 0.25624817
bent_cigar, d, 512, 16.29, 0.25549406
bent_cigar, d, 512, 16.46, 0.25428031
bent_cigar, d, 512, 16.29, 0.25239589
bent_cigar, d, 512, 16.19, 0.25500653
bent_cigar, d, 512, 16.22, 0.25600087
bent_cigar, d, 512, 16.46, 0.25628530
bent_cigar, d, 512, 15.77, 0.25161322
bent_cigar, d, 512, 16.39, 0.25557779
different_powers, f, 128, 3.66, 0.08964408
different_powers, f, 128, 3.52, 0.08849198
different_powers, f, 128, 3.67, 0.08866853
different_powers, f, 128, 3.70, 0.08912103
different_powers, f, 128, 3.65, 0.08999578
different_powers, f, 128, 3.66, 0.08958864
different_powers, f, 128, 3.67, 0.08825593
different_powers, f, 128, 3.85, 0.08843004
different_powers, f, 128, 3.75, 0.09024869
different_powers, f, 128, 3.71, 0.08912541
different_powers, f, 128, 3.66, 0.08918392
different_powers, f, 128, 3.78, 0.08822504
