work,type,size,PKG,seconds
generation, f, 128, 0.65, 0.04570717
generation, f, 128, 0.52, 0.04390968
generation, f, 128, 0.51, 0.03968493
generation, f, 128, 0.52, 0.03946878
generation, f, 128, 0.52, 0.03885917
generation, f, 128, 0.57, 0.03964895
generation, f, 128, 0.59, 0.03874816
generation, f, 128, 0.50, 0.03978400
generation, f, 128, 0.64, 0.03860580
generation, f, 128, 0.62, 0.03850482
generation, f, 128, 0.54, 0.03884839
generation, f, 128, 1.00, 0.03884528
generation, f, 128, 0.58, 0.03904256
generation, f, 128, 0.58, 0.03872483
generation, f, 128, 0.60, 0.03939847
generation, f, 128, 0.54, 0.03907736
generation, f, 128, 0.58, 0.03821348
generation, f, 128, 0.51, 0.03923106
generation, f, 128, 0.58, 0.04181115
generation, f, 128, 0.56, 0.04018622
generation, f, 128, 0.60, 0.03984558
generation, f, 128, 0.52, 0.03908359
generation, f, 128, 0.56, 0.03937718
generation, f, 128, 0.53, 0.03868288
generation, f, 128, 0.52, 0.03869626
generation, f, 128, 0.51, 0.03881261
generation, f, 128, 0.49, 0.03916110
generation, f, 128, 0.56, 0.03880769
generation, f, 128, 0.56, 0.03935138
generation, f, 128, 0.59, 0.03876364
generation, d, 128, 0.52, 0.04926563
generation, d, 128, 0.52, 0.04611637
generation, d, 128, 0.49, 0.04582789
generation, d, 128, 0.63, 0.04531600
generation, d, 128, 0.60, 0.04697952
generation, d, 128, 0.53, 0.04546838
generation, d, 128, 0.60, 0.04741873
generation, d, 128, 0.68, 0.04914578
generation, d, 128, 0.54, 0.04856949
generation, d, 128, 0.54, 0.04690250
generation, d, 128, 0.59, 0.04602077
generation, d, 128, 0.79, 0.04664745
generation, d, 128, 0.56, 0.04550622
generation, d, 128, 0.57, 0.04559923
generation, d, 128, 0.52, 0.04599745
generation, d, 128, 0.52, 0.04514881
generation, d, 128, 0.61, 0.04652786
generation, d, 128, 0.58, 0.04613557
generation, d, 128, 0.51, 0.04613155
generation, d, 128, 0.57, 0.04608841
generation, d, 128, 0.57, 0.04579168
generation, d, 128, 0.46, 0.04634920
generation, d, 128, 0.46, 0.04719349
generation, d, 128, 0.52, 0.04640600
generation, d, 128, 0.49, 0.04698702
generation, d, 128, 0.55, 0.04600951
generation, d, 128, 0.56, 0.04689845
generation, d, 128, 0.70, 0.04653786
generation, d, 128, 0.66, 0.04711925
generation, d, 128, 0.66, 0.04645737
