work,type,size,PKG,seconds
generation, f, 128, 3.59, 0.08909593
generation, f, 128, 4.14, 0.05261386
generation, f, 128, 4.15, 0.05292014
generation, f, 128, 3.88, 0.05226085
generation, f, 128, 4.00, 0.05250270
generation, f, 128, 4.21, 0.06074178
generation, f, 128, 3.98, 0.05262677
generation, f, 128, 4.04, 0.05297788
generation, f, 128, 4.05, 0.05295782
generation, f, 128, 3.94, 0.05346558
generation, f, 128, 4.49, 0.05339267
generation, f, 128, 4.72, 0.05342636
generation, f, 128, 4.48, 0.05363493
generation, f, 128, 4.42, 0.05747141
generation, f, 128, 3.81, 0.05232978
generation, f, 128, 4.07, 0.05268539
generation, f, 128, 4.02, 0.05308070
generation, f, 128, 3.93, 0.05328724
generation, f, 128, 4.10, 0.05338292
generation, f, 128, 3.98, 0.05274708
generation, f, 128, 3.86, 0.05340309
generation, f, 128, 3.93, 0.05277869
generation, f, 128, 3.96, 0.05304989
generation, f, 128, 3.89, 0.05338859
generation, f, 128, 4.42, 0.05362236
generation, f, 128, 3.83, 0.05297762
generation, f, 128, 4.48, 0.05292230
generation, f, 128, 3.78, 0.05347621
generation, f, 128, 3.86, 0.05268321
generation, f, 128, 3.99, 0.05780352
generation, f, 256, 7.00, 0.10130686
generation, f, 256, 7.03, 0.10102728
generation, f, 256, 7.01, 0.10179264
generation, f, 256, 6.99, 0.10104121
generation, f, 256, 7.10, 0.11064154
generation, f, 256, 6.81, 0.10160412
generation, f, 256, 6.78, 0.10170242
generation, f, 256, 6.93, 0.10156415
generation, f, 256, 6.98, 0.10183701
generation, f, 256, 6.73, 0.10198413
generation, f, 256, 7.34, 0.10228013
generation, f, 256, 6.95, 0.10291005
generation, f, 256, 6.97, 0.10083134
generation, f, 256, 6.98, 0.10079075
generation, f, 256, 6.89, 0.10232569
generation, f, 256, 7.53, 0.10121755
generation, f, 256, 7.06, 0.10207620
generation, f, 256, 7.59, 0.10322714
generation, f, 256, 7.15, 0.10913324
generation, f, 256, 7.03, 0.10323288
generation, f, 256, 7.11, 0.10176280
generation, f, 256, 6.86, 0.10138066
generation, f, 256, 6.78, 0.10324906
generation, f, 256, 7.00, 0.10245264
generation, f, 256, 8.34, 0.10428939
generation, f, 256, 7.03, 0.10192198
generation, f, 256, 7.09, 0.10327645
generation, f, 256, 7.01, 0.10240923
generation, f, 256, 7.49, 0.10256212
generation, f, 256, 7.19, 0.10237979
generation, f, 512, 10.35, 0.19826022
generation, f, 512, 10.01, 0.19971712
generation, f, 512, 10.04, 0.19831254
generation, f, 512, 13.25, 0.20098183
generation, f, 512, 13.35, 0.20491931
generation, f, 512, 10.54, 0.19722059
generation, f, 512, 10.21, 0.19892662
generation, f, 512, 10.12, 0.19927039
generation, f, 512, 10.66, 0.19864484
generation, f, 512, 13.26, 0.20064445
generation, f, 512, 13.13, 0.20133582
generation, f, 512, 10.08, 0.19844910
generation, f, 512, 12.98, 0.20137752
generation, f, 512, 10.72, 0.19919632
generation, f, 512, 14.15, 0.20300815
generation, f, 512, 13.15, 0.20242026
generation, f, 512, 9.96, 0.20012192
generation, f, 512, 9.72, 0.19871687
generation, f, 512, 13.14, 0.20651208
generation, f, 512, 13.37, 0.20149789
generation, f, 512, 10.83, 0.19947454
generation, f, 512, 13.34, 0.20182730
generation, f, 512, 13.25, 0.20091034
generation, f, 512, 12.88, 0.20163837
generation, f, 512, 9.86, 0.20001152
generation, f, 512, 9.85, 0.20036806
generation, f, 512, 13.31, 0.20230655
generation, f, 512, 10.57, 0.19864149
generation, f, 512, 10.41, 0.20034985
generation, f, 512, 10.33, 0.19940688
generation, d, 128, 3.89, 0.06375587
generation, d, 128, 4.08, 0.06400187
generation, d, 128, 4.03, 0.06313907
generation, d, 128, 3.69, 0.06352758
generation, d, 128, 3.82, 0.06268820
generation, d, 128, 3.87, 0.06328915
generation, d, 128, 4.19, 0.06380880
generation, d, 128, 3.99, 0.06393599
generation, d, 128, 3.88, 0.06286787
